fid segid  x1  y1  x2  y2  mx  my  cellID
1 1 0.469944 0.430721 0.448308 0.46281 0.459126 0.446766 88
1 2 0.448308 0.46281 0.412763 0.515528 0.430535 0.489169 74
1 3 0.412763 0.515528 0.352743 0.604546 0.382753 0.560037 71
1 4 0.352743 0.604546 0.302168 0.679554 0.327455 0.64205 32
1 5 0.302168 0.679554 0.24708 0.761256 0.274624 0.720405 27
1 6 0.24708 0.761256 0.188529 0.848094 0.217805 0.804675 86
1 7 0.188529 0.848094 0.170029 0.875532 0.179279 0.861813 81
2 1 0.0226995 0.83542 0.0434421 0.815901 0.0330708 0.825661 61
2 2 0.0434421 0.815901 0.171917 0.695001 0.10768 0.755451 78
2 3 0.171917 0.695001 0.184841 0.68284 0.178379 0.688921 50
2 4 0.184841 0.68284 0.18823 0.679651 0.186535 0.681245 55
2 5 0.18823 0.679651 0.215585 0.653909 0.201907 0.66678 73
2 6 0.215585 0.653909 0.320076 0.555579 0.26783 0.604744 32
2 7 0.320076 0.555579 0.342047 0.534903 0.331062 0.545241 71
2 8 0.342047 0.534903 0.43019 0.451958 0.386119 0.49343 74
2 9 0.43019 0.451958 0.486515 0.398954 0.458353 0.425456 88
2 10 0.486515 0.398954 0.546827 0.342198 0.516671 0.370576 69
2 11 0.546827 0.342198 0.680159 0.216728 0.613493 0.279463 25
2 12 0.680159 0.216728 0.704717 0.193619 0.692438 0.205173 31
2 13 0.704717 0.193619 0.733263 0.166755 0.71899 0.180187 84
2 14 0.733263 0.166755 0.828301 0.077321 0.780782 0.122038 76
2 15 0.828301 0.077321 0.897373 0.0123227 0.862837 0.0448219 68
