id  x  y  fracA  segA  fracB  segB
1 0.445326 0.467234 1 2 3 8
2 0.371107 0.577308 1 5 9 19
3 0.266242 0.732837 1 10 11 16
4 0.352593 0.604767 1 8 13 5
5 0.427436 0.493767 1 3 17 21
6 0.242877 0.767489 1 13 19 9
7 0.315381 0.659958 1 9 21 2
8 0.352954 0.604232 1 7 24 7
9 0.461278 0.443574 1 1 26 20
10 0.338911 0.537854 2 6 3 4
11 0.630296 0.263651 2 15 10 8
12 0.551279 0.338009 2 13 12 7
13 0.139047 0.725934 2 1 13 1
14 0.642949 0.251744 2 16 16 5
15 0.399843 0.480515 2 9 17 23
16 0.196481 0.671886 2 3 19 4
17 0.469322 0.415133 2 11 23 21
18 0.394587 0.485461 2 8 24 12
19 0.455837 0.427823 2 10 26 21
20 0.507429 0.379273 2 12 29 10
21 0.687358 0.306612 3 14 10 9
22 0.519262 0.418167 3 11 12 9
23 0.414619 0.487611 3 7 17 22
24 0.181978 0.642001 3 1 19 3
25 0.502759 0.429119 3 10 23 20
26 0.387532 0.505588 3 5 24 10
27 0.464952 0.454209 3 9 26 19
28 0.54315 0.402314 3 12 29 12
29 0.482801 0.743482 4 1 7 2
30 0.719209 0.544437 4 8 9 11
31 0.921475 0.374139 4 15 14 11
32 0.943851 0.355299 4 16 15 12
33 0.651549 0.601403 4 6 17 11
34 0.674711 0.581903 4 7 21 11
35 0.813218 0.465286 4 12 22 12
36 0.738874 0.52788 4 10 23 12
37 0.496764 0.731726 4 3 25 9
38 0.546393 0.68994 4 4 26 10
39 0.82659 0.454027 4 13 27 1
40 0.388965 0.973686 5 1 25 15
41 0.634449 0.944816 5 3 26 2
42 0.909107 0.526505 6 9 9 2
43 0.878008 0.607528 6 4 14 4
44 0.891126 0.57335 6 7 15 7
45 0.844744 0.69419 6 3 17 4
46 0.898317 0.554615 6 8 20 2
47 0.885102 0.589045 6 6 23 2
48 0.9599 0.394173 6 10 30 1
49 0.69847 0.623938 7 7 17 10
50 0.717684 0.613288 7 8 22 6
51 0.814613 0.559561 7 12 23 6
52 0.494387 0.73706 7 4 25 10
53 0.551698 0.705293 7 6 26 8
54 0.744666 0.598332 7 10 27 6
55 0.494204 0.565684 8 7 9 16
56 0.512802 0.534766 8 9 17 16
57 0.300893 0.887037 8 2 19 13
58 0.309524 0.87269 8 3 20 17
59 0.455848 0.629445 8 6 21 6
60 0.500087 0.555905 8 8 26 14
61 0.449422 0.569913 9 17 11 12
62 0.406953 0.573923 9 18 13 8
63 0.892811 0.528044 9 4 14 8
64 0.902298 0.527148 9 3 15 9
65 0.563544 0.559136 9 14 17 15
66 0.95909 0.521785 9 1 20 1
67 0.764913 0.540121 9 9 22 9
68 0.767544 0.539873 9 8 23 10
69 0.362093 0.578159 9 20 24 9
70 0.5741 0.55814 9 13 25 5
71 0.503173 0.564837 9 15 26 13
72 0.778438 0.538844 9 7 27 3
73 0.843775 0.532674 9 5 30 4
74 0.718824 0.330302 10 10 11 4
75 0.592381 0.235105 10 5 12 3
76 0.618678 0.254903 10 7 16 6
