fracA,segA,fracB,segB,TIw,TIg
1,1,0,0,5.38007e-17,8.49601e-16
1,1,0,0,1.56327e-17,2.46866e-16
1,4,0,0,3.23988e-24,5.11627e-23
1,4,0,0,3.7212e-17,5.87636e-16
1,4,0,0,2.34658e-17,3.70562e-16
1,5,0,0,3.23988e-24,5.11627e-23
1,5,0,0,5.17771e-17,8.17641e-16
1,5,0,0,3.26505e-17,5.15603e-16
2,6,0,0,3.7212e-17,5.87636e-16
2,6,0,0,5.17771e-17,8.17641e-16
2,6,0,0,3.75011e-10,5.92202e-09
2,7,0,0,2.34658e-17,3.70562e-16
2,7,0,0,3.26505e-17,5.15603e-16
2,7,0,0,3.75011e-10,5.92202e-09
3,1,0,0,5.38007e-17,8.49601e-16
3,1,0,0,4.31407e-10,6.81263e-09
3,2,0,0,1.56327e-17,2.46866e-16
3,2,0,0,4.31407e-10,6.81263e-09
