fid segid  x1  y1  x2  y2  mx  my  cellID
1 1 0.1 0.2 0.124712 0.286492 0.112356 0.243246 27
1 2 0.124712 0.286492 0.165375 0.428813 0.145044 0.357653 31
1 3 0.165375 0.428813 0.200293 0.551027 0.182834 0.48992 20
1 4 0.200293 0.551027 0.228571 0.65 0.214432 0.600514 34
1 5 0.228571 0.65 0.248895 0.721131 0.238733 0.685566 34
1 6 0.248895 0.721131 0.259241 0.757344 0.254068 0.739238 37
1 7 0.259241 0.757344 0.3 0.9 0.279621 0.828672 40
2 1 0.7 0.1 0.574899 0.245952 0.637449 0.172976 39
2 2 0.574899 0.245952 0.536368 0.290904 0.555633 0.268428 38
2 3 0.536368 0.290904 0.357143 0.5 0.446755 0.395452 17
2 4 0.357143 0.5 0.322496 0.540421 0.33982 0.52021 18
2 5 0.322496 0.540421 0.270488 0.601097 0.296492 0.570759 37
2 6 0.270488 0.601097 0.228571 0.65 0.24953 0.625548 34
2 7 0.228571 0.65 0.1621 0.72755 0.195336 0.688775 34
2 8 0.1621 0.72755 0.1 0.8 0.13105 0.763775 26
3 1 0.0725 0.1825 0.1 0.2 0.08625 0.19125 27
3 2 0.1 0.2 0.194642 0.260227 0.147321 0.230114 27
3 3 0.194642 0.260227 0.252121 0.296804 0.223382 0.278516 31
3 4 0.252121 0.296804 0.38692 0.382585 0.31952 0.339695 35
3 5 0.38692 0.382585 0.4025 0.3925 0.39471 0.387543 17
