id cx cy cz
85 0.923201 0.552743 0
86 0.935803 0.300405 0
87 0.878311 0.728766 0
88 0.945292 0.538087 0
89 0.757744 0.0755024 0
90 0.74137 0.0574565 0
91 0.259025 0.0740666 0
92 0.240863 0.0553882 0
93 0.122918 0.320307 0
94 0.357025 0.0617132 0
95 0.338645 0.0802604 0
96 0.691957 0.074997 0
97 0.2082 0.0555968 0
98 0.708295 0.0568176 0
99 0.19168 0.0751523 0
100 0.539644 0.142656 0
101 0.557731 0.158561 0
102 0.309127 0.0803945 0
103 0.292191 0.0611314 0
104 0.158761 0.073444 0
105 0.142337 0.0537121 0
106 0.918588 0.278093 0
107 0.606994 0.158344 0
108 0.482266 0.105368 0
109 0.406355 0.059964 0
110 0.586558 0.143434 0
111 0.38598 0.0751345 0
112 0.461823 0.12094 0
113 0.0603882 0.398179 0
114 0.939448 0.39776 0
115 0.0950693 0.074031 0
116 0.110501 0.0543955 0
117 0.0596732 0.651117 0
118 0.92739 0.249705 0
119 0.0737663 0.749626 0
120 0.0731555 0.90245 0
121 0.902263 0.711664 0
122 0.861325 0.204541 0
123 0.839054 0.189529 0
124 0.874188 0.816696 0
125 0.124146 0.291242 0
126 0.877882 0.757972 0
127 0.0514385 0.762676 0
128 0.948352 0.238512 0
129 0.0738011 0.420805 0
130 0.926305 0.420285 0
131 0.984704 0.0771158 0
132 0.98464 0.923149 0
133 0.897136 0.805173 0
134 0.0994844 0.334645 0
135 0.071705 0.624857 0
136 0.0509713 0.888482 0
137 0.0725364 0.84092 0
138 0.928545 0.159707 0
139 0.0794924 0.492284 0
140 0.92145 0.49136 0
141 0.972503 0.0559833 0
142 0.972439 0.944281 0
143 0.0723232 0.810346 0
144 0.929204 0.19007 0
145 0.925124 0.327465 0
146 0.0722808 0.675099 0
147 0.924783 0.584171 0
148 0.925341 0.846346 0
149 0.0737538 0.931577 0
150 0.071974 0.373748 0
151 0.927295 0.37382 0
152 0.0583244 0.508571 0
153 0.943828 0.506131 0
154 0.0766068 0.141366 0
155 0.0794605 0.466767 0
156 0.92182 0.465961 0
157 0.149206 0.797322 0
158 0.923274 0.81968 0
159 0.0766273 0.117447 0
160 0.905093 0.205173 0
161 0.124328 0.753169 0
162 0.124577 0.724545 0
163 0.123774 0.811523 0
164 0.149219 0.768296 0
165 0.0987182 0.795954 0
166 0.102277 0.272059 0
167 0.904922 0.233252 0
168 0.149588 0.682135 0
169 0.0507387 0.856797 0
170 0.94762 0.8596 0
171 0.949083 0.143448 0
172 0.0625101 0.575402 0
173 0.149542 0.71083 0
174 0.122236 0.667152 0
175 0.0992602 0.766626 0
176 0.124109 0.840929 0
177 0.149615 0.855694 0
178 0.14985 0.884778 0
179 0.174924 0.899116 0
180 0.175017 0.92798 0
181 0.20003 0.97115 0
182 0.20003 0.942286 0
183 0.0285189 0.35 0
184 0.4 0.942265 0
185 0.4 0.971132 0
186 0.152097 0.536848 0
187 0.699999 0.42265 0
188 0.475 0.985566 0
189 0.0169553 0.475866 0
190 0.349999 0.942265 0
191 0.849795 0.942696 0
192 0.151828 0.508365 0
193 0.575 0.812361 0
194 0.324998 0.92783 0
195 0.874869 0.98566 0
196 0.599999 0.797927 0
197 0.5 0.971132 0
198 0.0304458 0.502095 0
199 0.649998 0.76906 0
200 0.55 0.971132 0
201 0.0263893 0.551502 0
202 0.22516 0.494768 0
203 0.599084 0.0283547 0
204 0.849843 0.971241 0
205 0.598095 0.0568673 0
206 0.5 0.855662 0
207 0.45 0.942265 0
208 0.0144338 0.375 0
209 0.0134906 0.526229 0
210 0.525 0.985566 0
211 0.128859 0.549422 0
212 0.624999 0.754626 0
213 0.988393 0.524498 0
214 0.525163 0.0145046 0
215 0.927824 0.771707 0
216 0.525 0.927831 0
217 0.942256 0.79941 0
218 0.969504 0.801204 0
219 0.7 0.711325 0
220 0.325 0.668023 0
221 0.0285897 0.250591 0
222 0.924402 0.986019 0
223 0.0293975 0.399438 0
224 0.674998 0.754626 0
225 0.22514 0.465912 0
226 0.0567031 0.25041 0
227 0.35 0.971132 0
228 0.015095 0.92347 0
229 0.35 0.711325 0
230 0.971847 0.499979 0
231 0.35 0.595855 0
232 0.500896 0.0293455 0
233 0.375 0.552554 0
234 0.35 0.624722 0
235 0.175828 0.494522 0
236 0.475 0.927831 0
237 0.968497 0.449662 0
238 0.674997 0.898964 0
239 0.45 0.971132 0
240 0.6 0.76906 0
241 0.451989 0.0298517 0
242 0.35 0.682457 0
243 0.274993 0.927828 0
244 0.55 0.942265 0
245 0.6 0.88453 0
246 0.299888 0.163612 0
247 0.5 0.88453 0
248 0.375 0.725759 0
249 0.325 0.639156 0
250 0.575 0.379349 0
251 0.325 0.985566 0
252 0.0992668 0.855935 0
253 0.899271 0.971679 0
254 0.250043 0.451506 0
255 0.0302424 0.101057 0
256 0.250018 0.422646 0
257 0.674999 0.725758 0
258 0.983453 0.475481 0
259 0.475733 0.0148408 0
260 0.0140851 0.325 0
261 0.150094 0.94262 0
262 0.624998 0.812361 0
263 0.375 0.581421 0
264 0.425 0.985566 0
265 0.0600009 0.301341 0
266 0.649997 0.797927 0
