id n1 n2 mx my mz
1 10 29 0.915288 0.350092 0
2 14 24 0.549183 0.913869 0
3 35 37 0.677222 0.278906 0
4 37 38 0.572703 0.351368 0
5 6 33 0.357892 0.0932639 0
6 35 38 0.581402 0.244949 0
7 10 22 0.917675 0.44515 0
8 5 33 0.257892 0.0932639 0
9 23 35 0.58992 0.152432 0
10 22 44 0.762523 0.516049 0
11 15 24 0.449183 0.913869 0
12 28 43 0.405152 0.511091 0
13 23 38 0.485401 0.224894 0
14 24 25 0.399557 0.829221 0
15 26 32 0.292175 0.677188 0
16 12 40 0.926795 0.826795 0
17 27 28 0.550101 0.577952 0
18 25 26 0.348454 0.750719 0
19 27 30 0.707451 0.682334 0
20 25 32 0.244469 0.757172 0
21 17 32 0.0940948 0.741821 0
22 23 33 0.404852 0.159452 0
23 36 38 0.399172 0.352396 0
24 26 28 0.44808 0.57556 0
25 33 36 0.318623 0.286954 0
26 15 25 0.350374 0.915351 0
27 33 38 0.396334 0.25197 0
28 30 34 0.754588 0.765074 0
29 15 16 0.3 1 0
30 7 23 0.546959 0.066188 0
31 31 33 0.242583 0.243321 0
32 27 34 0.647339 0.758259 0
33 31 36 0.245422 0.343747 0
34 11 22 0.917675 0.54515 0
35 29 35 0.758249 0.236336 0
36 21 31 0.166544 0.394389 0
37 11 12 1 0.7 0
38 9 10 1 0.3 0
39 29 37 0.74955 0.342755 0
40 22 29 0.832963 0.395242 0
41 32 43 0.249246 0.61272 0
42 13 34 0.747238 0.9205 0
43 19 31 0.0846911 0.350057 0
44 26 43 0.353231 0.606266 0
45 27 44 0.644949 0.608659 0
46 9 29 0.915288 0.250092 0
47 24 26 0.447263 0.749237 0
48 30 44 0.752198 0.615474 0
49 10 11 1 0.5 0
50 14 15 0.5 1 0
51 18 19 0 0.5 0
52 19 21 0.0818533 0.444333 0
53 18 21 0.0818533 0.544333 0
54 26 27 0.498181 0.673127 0
55 24 27 0.549283 0.751629 0
56 12 30 0.90735 0.744575 0
57 11 30 0.90735 0.644575 0
58 6 7 0.5 0 0
59 5 41 0.173205 0.0732051 0
60 6 23 0.446959 0.066188 0
61 16 25 0.250374 0.915351 0
62 19 20 0 0.3 0
63 20 31 0.0846911 0.250057 0
64 22 30 0.825025 0.589725 0
65 17 18 0 0.7 0
66 18 32 0.0940948 0.641821 0
67 13 14 0.7 1 0
68 14 34 0.647238 0.9205 0
69 5 6 0.3 0 0
70 7 8 0.7 0 0
71 8 35 0.742961 0.0862436 0
72 7 35 0.642961 0.0862436 0
73 24 34 0.596421 0.834369 0
74 21 32 0.175948 0.586153 0
75 21 36 0.242584 0.438023 0
76 22 37 0.751936 0.437812 0
77 4 17 0 0.9 0
78 17 39 0.0732051 0.826795 0
79 4 39 0.0732051 0.926795 0
80 3 13 0.9 1 0
81 13 40 0.826795 0.926795 0
82 3 40 0.926795 0.926795 0
83 1 5 0.1 0 0
84 1 41 0.0732051 0.0732051 0
85 1 20 0 0.1 0
86 20 41 0.0732051 0.173205 0
87 4 16 0.1 1 0
88 16 39 0.173205 0.926795 0
89 3 12 1 0.9 0
90 2 9 1 0.1 0
91 9 42 0.926795 0.173205 0
92 2 42 0.926795 0.0732051 0
93 2 8 0.9 0 0
94 8 42 0.826795 0.0732051 0
95 28 37 0.584261 0.432855 0
96 28 38 0.488442 0.398898 0
97 28 44 0.594848 0.511091 0
98 28 36 0.410731 0.433883 0
99 21 43 0.237005 0.515232 0
100 36 43 0.315882 0.464589 0
101 37 44 0.67911 0.463562 0
102 35 42 0.769756 0.159449 0
103 34 40 0.774033 0.847295 0
104 32 39 0.1673 0.768616 0
105 33 41 0.231097 0.166469 0
106 30 40 0.834145 0.77137 0
107 25 39 0.223579 0.842146 0
108 31 41 0.157896 0.223262 0
109 29 42 0.842083 0.223297 0
