id x y z
1 0 0 0
2 1 0 0
3 1 1 0
4 0 1 0
5 0.2 0 0
6 0.4 0 0
7 0.6 0 0
8 0.8 0 0
9 1 0.2 0
10 1 0.4 0
11 1 0.6 0
12 1 0.8 0
13 0.8 1 0
14 0.6 1 0
15 0.4 1 0
16 0.2 1 0
17 0 0.8 0
18 0 0.6 0
19 0 0.4 0
20 0 0.2 0
21 0.163707 0.488665 0
22 0.83535 0.4903 0
23 0.493918 0.132376 0
24 0.498365 0.827739 0
25 0.300748 0.830703 0
26 0.39616 0.670734 0
27 0.600202 0.675519 0
28 0.5 0.480385 0
29 0.830577 0.300184 0
30 0.8147 0.689149 0
31 0.169382 0.300114 0
32 0.18819 0.683641 0
33 0.315785 0.186528 0
34 0.694476 0.840999 0
35 0.685921 0.172487 0
36 0.321461 0.387381 0
37 0.668523 0.385325 0
38 0.476883 0.317411 0
39 0.14641 0.85359 0
40 0.85359 0.85359 0
41 0.14641 0.14641 0
42 0.85359 0.14641 0
43 0.310303 0.541798 0
44 0.689697 0.541798 0
