# step 95  time 9.5000000000000062e-01
# columns: cell_id  cx  cy  cz  volume  p  T
17  4.9999999999972211e-01  4.1581330609475403e-01  0.0000000000000000e+00  5.3372225275520865e-02  6.1403117357219281e+06  3.0405981775372743e+02
18  5.0000000000013045e-01  5.8418669390549294e-01  0.0000000000000000e+00  5.3372225275486282e-02  6.3598833021367704e+06  3.0508500913651608e+02
19  9.0377495513518946e-01  4.9999999999914585e-01  0.0000000000000000e+00  4.8112522432398608e-02  7.6260002546434561e+06  3.0869991661784377e+02
20  9.6225044864737361e-02  5.0000000000115574e-01  0.0000000000000000e+00  4.8112522432301831e-02  6.0076433025274780e+06  3.5166399185756512e+02
21  4.9999999999922617e-01  8.2479972761320117e-02  0.0000000000000000e+00  4.1239986380654195e-02  6.3583835442385739e+06  3.0475452526823108e+02
22  5.0000000000097422e-01  9.1752002723872572e-01  0.0000000000000000e+00  4.1239986380579824e-02  6.7212677822644264e+06  2.9384209561069770e+02
23  1.9188436272906628e-01  9.1922674838271745e-01  0.0000000000000000e+00  4.0386625808809279e-02  6.1066941489079250e+06  3.0211688927471334e+02
24  8.0811563727108460e-01  8.0773251617356503e-02  0.0000000000000000e+00  4.0386625808784618e-02  7.9748905042384565e+06  3.1555156174142468e+02
25  9.1922674838248786e-01  1.9188436272819084e-01  0.0000000000000000e+00  4.0386625808655346e-02  7.9882970416654479e+06  3.1700948242932816e+02
26  8.0773251617492714e-02  8.0811563727191471e-01  0.0000000000000000e+00  4.0386625808634377e-02  5.9964763168415483e+06  3.1976487584849491e+02
27  8.0773251616928540e-02  1.9188436272870402e-01  0.0000000000000000e+00  4.0386625808632365e-02  6.0036587997287065e+06  3.0560767303313912e+02
28  9.1922674838303398e-01  8.0811563727146651e-01  0.0000000000000000e+00  4.0386625808589371e-02  7.8802295784127600e+06  3.1873061732797868e+02
29  1.9188436272776282e-01  8.0773251617130407e-02  0.0000000000000000e+00  4.0386625808464575e-02  6.0085002444554651e+06  3.0532933183682644e+02
30  8.0811563727223112e-01  9.1922674838286988e-01  0.0000000000000000e+00  4.0386625808453036e-02  7.6763487945279591e+06  3.1306214212586411e+02
31  1.7699829648166596e-01  3.5855102939575606e-01  0.0000000000000000e+00  3.3329991413492091e-02  6.0063320972485011e+06  3.0486796120626110e+02
32  8.2300170351822333e-01  6.4144897060451467e-01  0.0000000000000000e+00  3.3329991413463322e-02  7.8169355674482677e+06  3.1342283046879101e+02
33  8.2300170351767687e-01  3.5855102939457245e-01  0.0000000000000000e+00  3.3329991413255156e-02  7.3646153881727457e+06  3.0705887554449333e+02
34  1.7699829648223006e-01  6.4144897060563322e-01  0.0000000000000000e+00  3.3329991413233680e-02  6.0104210762974024e+06  2.6631995271163089e+02
35  3.4366496314812817e-01  3.2991989104550251e-01  0.0000000000000000e+00  3.3080880809938921e-02  5.9976975210646624e+06  3.0386456925805231e+02
36  6.5633503685176020e-01  6.7008010895464443e-01  0.0000000000000000e+00  3.3080880809888802e-02  7.2040652012599483e+06  3.0599604758064538e+02
37  3.4366496314910061e-01  6.7008010895516201e-01  0.0000000000000000e+00  3.3080880809540213e-02  6.2118585447379462e+06  3.0400650123203235e+02
38  6.5633503685080596e-01  3.2991989104505864e-01  0.0000000000000000e+00  3.3080880809544688e-02  6.7064907056231080e+06  3.0602733040951370e+02
39  6.4144897060421313e-01  1.6325322437867665e-01  0.0000000000000000e+00  3.1453509115425347e-02  7.1291604617729122e+06  3.0659080977306331e+02
40  3.5855102939593703e-01  8.3674677562144351e-01  0.0000000000000000e+00  3.1453509115408784e-02  6.5493781100682346e+06  3.3903922208629467e+02
41  3.5855102939422484e-01  1.6325322437845047e-01  0.0000000000000000e+00  3.1453509115432383e-02  6.0049480311892862e+06  3.0523642499002551e+02
42  6.4144897060576811e-01  8.3674677562159594e-01  0.0000000000000000e+00  3.1453509115412032e-02  7.4074421505036699e+06  3.2501646340578822e+02
